Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-19T09:35:44,NEW,2025,05/14/2026 10:00 AM ET,"28 N WASHINGTON ST BEVERLY HILLS, FL- 34465","$129,930.38","$117,117.00","$129,930.38",1459664
2026-04-19T09:35:44,NEW,2024,04/30/2026 10:00 AM ET,"559 W RUNYON LOOP BEVERLY HILLS, FL- 34465","$8,476.67","$164,629.00","$8,476.67",3371751
2026-04-19T09:35:44,NEW,2023,05/07/2026 10:00 AM ET,"5607 S SCARLET OAK TER HOMOSASSA, FL- 34446","$93,562.88","$113,736.00","$93,562.88",2268051
2026-04-19T09:41:30,NEW,2025,04/23/2026 10:00 AM ET,"6810 W PERSHING DR HOMOSASSA, FL- 34448","$225,063.77","$125,784.00","$225,063.77",1134188
2026-04-19T09:41:30,NEW,2025,04/23/2026 10:00 AM ET,"6383 N JADE TER CRYSTAL RIVER, FL- 34428","$425,573.17","$257,432.00","$264,758.00",2240105
2026-04-19T09:41:30,NEW,2025,04/23/2026 10:00 AM ET,"9366 N WESTMINISTER AVE CITRUS SPRINGS, FL- 34434","$49,596.15","$3,221.00","$50,658.76",2114665
2026-04-19T09:41:30,NEW,2025,04/23/2026 10:00 AM ET,"9202 N ABBOT DR CITRUS SPRINGS, FL- 34434","$266,366.76","$224,540.00","$194,996.00",1244536
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"4302 E ALABAMA LN HERNANDO, FL- 34442","$113,044.94","$71,220.00",Hidden,2024593
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"9850 N SANDREE DR CITRUS SPRINGS, FL- 34434","$274,705.76","$214,424.00","$274,705.76",1228581
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"8598 N APPENINES PT DUNNELLON, FL- 34433","$99,441.07","$50,246.00","$99,441.07",1984131
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"10288 N SPAULDING DR CITRUS SPRINGS, FL- 34433","$287,550.01","$203,254.00","$287,550.01",1252440
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"1585 S MOHICAN TRL INVERNESS, FL- 34450","$231,720.31","$135,386.00","$231,720.31",1879311
2026-04-19T09:41:30,NEW,2025,04/30/2026 10:00 AM ET,"18 ANTON CT HOMOSASSA, FL- 34446","$12,342.29","$10,000.00","$12,342.29",3238557
2026-04-19T09:41:30,NEW,2025,05/07/2026 10:00 AM ET,"8421 W DOE LN HOMOSASSA, FL- 34448","$97,465.95","$116,471.00","$97,465.95",1941989
2026-04-19T09:41:30,NEW,2025,05/07/2026 10:00 AM ET,"5144 N EVANSTON TER HERNANDO, FL- 34442","$57,356.20","$144,505.00","$57,356.20",1609801
2026-04-19T09:41:30,NEW,2025,05/14/2026 10:00 AM ET,"8467 W DOE LN HOMOSASSA, FL- 34448","$15,221.34","$118,939.00","$15,221.34",2596953
2026-04-24T03:53:31,CLOSED,2025,04/23/2026 10:00 AM ET,"6810 W PERSHING DR HOMOSASSA, FL- 34448","$225,063.77","$125,784.00","$97,500.00",1134188
2026-04-24T03:53:31,CLOSED,2025,04/23/2026 10:00 AM ET,"6383 N JADE TER CRYSTAL RIVER, FL- 34428","$425,573.17","$257,432.00","$264,758.00",2240105
2026-04-24T03:53:31,CLOSED,2025,04/23/2026 10:00 AM ET,"9366 N WESTMINISTER AVE CITRUS SPRINGS, FL- 34434","$49,596.15","$3,221.00","$50,658.76",2114665
2026-04-24T03:53:31,CLOSED,2025,04/23/2026 10:00 AM ET,"9202 N ABBOT DR CITRUS SPRINGS, FL- 34434","$266,366.76","$224,540.00","$194,996.00",1244536
2026-04-28T03:53:30,NEW,2022,05/21/2026 10:00 AM ET,"5985 E CHAPEL LN INVERNESS, FL- 34452","$167,345.25","$184,167.00","$167,345.25",1803527
2026-04-28T03:53:30,NEW,2023,05/21/2026 10:00 AM ET,"9004 N ATHENS DR CITRUS SPRINGS, FL- 34433","$72,846.18","$112,883.00","$72,846.18",1315565
2026-04-28T03:53:30,NEW,2025,05/21/2026 10:00 AM ET,"4374 E THUNDERHILL LOOP HERNANDO, FL- 34442","$102,161.61","$120,488.00","$102,161.61",2929561
2026-04-28T03:53:30,NEW,2025,05/21/2026 10:00 AM ET,"753 NE 9TH ST CRYSTAL RIVER, FL- 34428","$1,167,591.99","$598,160.00","$1,167,591.99",3116980
2026-04-28T03:53:30,CLOSED,2025,04/30/2026 10:00 AM ET,"1585 S MOHICAN TRL INVERNESS, FL- 34450","$231,720.31","$135,386.00","$61,200.00",1879311
2026-04-29T03:53:30,NEW,2022,04/30/2026 10:00 AM ET,"6646 W SEVILLE CT CRYSTAL RIVER, FL- 34429","$85,358.27","$73,730.00","$85,358.27",2501596
2026-04-30T03:53:53,NEW,2025,05/28/2026 10:00 AM ET,"2818 W GLEN ST LECANTO, FL- 34461","$141,272.12","$209,701.00","$141,272.12",2569921
2026-05-01T03:53:18,CLOSED,2022,04/30/2026 10:00 AM ET,"6646 W SEVILLE CT CRYSTAL RIVER, FL- 34429","$85,358.27","$73,730.00","$88,303.27",2501596
2026-05-01T03:53:18,CLOSED,2024,04/30/2026 10:00 AM ET,"559 W RUNYON LOOP BEVERLY HILLS, FL- 34465","$8,476.67","$164,629.00","$8,476.67",3371751
2026-05-01T03:53:18,CLOSED,2025,04/30/2026 10:00 AM ET,"4302 E ALABAMA LN HERNANDO, FL- 34442","$113,044.94","$71,220.00",Hidden,2024593
2026-05-01T03:53:18,CLOSED,2025,04/30/2026 10:00 AM ET,"9850 N SANDREE DR CITRUS SPRINGS, FL- 34434","$274,705.76","$214,424.00",Hidden,1228581
2026-05-01T03:53:18,CLOSED,2025,04/30/2026 10:00 AM ET,"8598 N APPENINES PT DUNNELLON, FL- 34433","$99,441.07","$50,246.00",Hidden,1984131
2026-05-01T03:53:18,CLOSED,2025,04/30/2026 10:00 AM ET,"10288 N SPAULDING DR CITRUS SPRINGS, FL- 34433","$287,550.01","$203,254.00",Hidden,1252440
2026-05-01T03:53:18,CLOSED,2025,04/30/2026 10:00 AM ET,"18 ANTON CT HOMOSASSA, FL- 34446","$12,342.29","$10,000.00","$12,342.29",3238557
